Pos,Equipo,G,E,P,Goles,+/-,Pts
1,Levante UD,22,13,7,69:42,27,79
2,Elche CF,22,11,9,59:34,25,77
3,Real Oviedo,21,12,9,56:42,14,75
4,CD Mirandés,22,9,11,59:40,19,75
5,Racing,20,11,11,65:51,14,71
6,UD Almería,19,12,11,72:55,17,69
7,Granada CF,18,11,13,65:54,11,65
8,SD Huesca,18,10,14,58:49,9,64
9,SD Eibar,15,13,14,44:41,3,58
10,Albacete,15,13,14,57:57,0,58
11,Real Sporting,14,14,14,57:54,3,56
12,Burgos CF,15,10,17,41:48,-7,55
13,Cádiz CF,14,13,15,55:53,2,55
14,Córdoba CF,14,13,15,59:63,-4,55
15,RC Deportivo,13,14,15,56:54,2,53
16,Málaga CF,12,17,13,42:46,-4,53
17,CD Castellón,14,11,17,65:63,2,53
18,Real Zaragoza,13,12,17,56:63,-7,51
19,CD Eldense,11,12,19,44:63,-19,45
20,CD Tenerife,8,12,22,35:55,-20,36
21,Racing Ferrol,6,12,24,22:64,-42,30
22,FC Cartagena,6,5,31,33:78,-45,23
